시군명,공동주택구분,공동주택명정보,읍면동주소,지번주소,사용검사일자,층수,동수,세대수,의무관리대상여부
고양시,,에이스10차아파트,일산동,2041,1996-10-30,20,5,658,Y
고양시,,에이스11차아파트,일산동,2019,1996-11-01,19,2,272,Y
고양시,,에이스9차아파트,일산동,583-66외1,1995-05-28,18,4,332,Y
고양시,,연세빌라,행신동,204-5,1986-09-08,3,3,90,N
고양시,,연세연립,중산동,44611,1986-11-04,3,1,30,N
고양시,,영신APT,주교동,575-9,1987-08-07,5,1,35,N
고양시,,영신주택,주교동,559-0,1986-04-17,3,1,27,N
고양시,,영오빌라,행신동,222-0,1986-06-18,3,3,51,N
고양시,,영흥APT,주교동,554-1,1988-09-29,5,1,60,N
고양시,,예중파크뷰,주교동,273-1,2004-09-01,13,1,49,N
고양시,,오익연립,주교동,559-1,1985-08-19,3,3,75,N
고양시,,옥빛마을(1501~,화정동,998,1996-06-08,16,1,96,N
고양시,,옥빛마을12,화정동,988,1995-11-01,20,5,570,Y
고양시,,옥빛마을13,화정동,987,1995-11-01,20,5,582,Y
고양시,,옥빛마을14,화정동,1004,1995-11-08,20,6,720,Y
고양시,,옥빛마을1502~,화정동,1127,1997-05-03,20,14,1391,Y
고양시,,옥빛마을16,화정동,1141,1996-10-13,20,6,514,Y
고양시,,옥빛마을17,화정동,1135,1997-05-23,20,14,1120,Y
고양시,,요진와이하우스,풍동,1377,2013-04-29,4,8,258,Y
고양시,,우림,주교동,555,2004-01-16,19,3,163,Y
